trx_id,user_id,card_number,card_expire_dt,trx_at,amount,currency,merchant_country,merchant_lat,merchant_lon,ip_address,user_agent
b9c83e97-9b1e-4267-8d6c-d27660b53fc4,5f71454d-eafd-4609-8779-e92a35ecc5f2,4157981152256735,12/33,2026-04-12 14:30:58,1416303.0,KRW,KR,34.8825,128.62667,45.221.246.145,"Mozilla/5.0 (Windows 95) AppleWebKit/536.1 (KHTML, like Gecko) Chrome/34.0.847.0 Safari/536.1"
92d12fb4-9938-4830-86cc-c8aba2626feb,f74fa32e-14b7-468c-b7fc-5203adf336ec,4641483028764830,05/31,2026-04-12 14:41:21,946711.0,KRW,KR,37.1759,128.9889,65.54.159.116,Mozilla/5.0 (Android 1.6; Mobile; rv:59.0) Gecko/59.0 Firefox/59.0
9b29b4a7-3949-4fe1-b258-97778bcf9176,322841ab-a6ac-4817-8856-77d37c221cbf,4528553739981838,07/29,2026-04-12 14:54:48,1194.23,EUR,LT,3.5973555,-31.735694,87.120.13.10,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/533.1 (KHTML, like Gecko) Chrome/29.0.886.0 Safari/533.1"
3a4ec49f-bd61-450d-a763-b5b48a6708d7,86ee1127-20b0-4646-95cb-5657f3579dd7,4434793801617158,09/28,2026-04-12 15:04:20,1396308.0,KRW,KR,34.8825,128.62667,132.84.43.116,Mozilla/5.0 (Macintosh; PPC Mac OS X 10_9_2; rv:1.9.6.20) Gecko/9831-06-08 17:13:58 Firefox/7.0
00bf995f-c857-4220-b1c1-e2b48db4deda,0a27cf08-9984-48c2-b78b-a5e47e0d26de,4051005295171630,03/35,2026-04-12 15:22:12,1402081.0,KRW,KR,34.8825,128.62667,10.78.215.47,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.6.20) Gecko/7770-05-23 11:27:42 Firefox/3.8
ae435d74-c20a-4188-a05a-5e0425665ed8,0a27cf08-9984-48c2-b78b-a5e47e0d26de,4051005295171630,03/35,2026-04-12 15:46:44,284846.0,KRW,KR,37.1759,128.9889,132.134.64.78,Opera/9.80.(Windows NT 5.2; te-IN) Presto/2.9.189 Version/10.00
0107b480-3d4f-47e4-9ce4-edd0d24b767c,4c78d3b1-bf5b-4103-b89c-a3b9ef9ccb6c,4037118752652999,04/36,2026-04-12 15:48:41,296343.0,KRW,KR,36.82167,128.63083,185.74.136.206,Opera/9.39.(X11; Linux i686; crh-UA) Presto/2.9.176 Version/11.00
9d524327-d04b-41fb-a2ec-10fbb0a86154,8cbcb6ab-6034-4d3d-9512-39834d2fe720,4207458730432229,05/27,2026-04-12 15:54:02,1413718.0,KRW,KR,37.65639,126.835,163.239.25.184,"Mozilla/5.0 (Windows NT 4.0) AppleWebKit/536.1 (KHTML, like Gecko) Chrome/29.0.842.0 Safari/536.1"
228ec432-0013-4fb8-ae48-4659e82818f7,33cb7f7b-b9af-45b2-a8df-b8883ace491e,4368886753559319,10/35,2026-04-12 15:54:33,1475.99,EUR,IS,0.1972985,-64.026959,105.31.24.36,Mozilla/5.0 (Android 2.3.5; Mobile; rv:12.0) Gecko/12.0 Firefox/12.0
554669b9-f368-419b-a288-421689d0d10b,bd6279f7-d5b0-4382-938c-527ff0762153,4209990028360793,10/32,2026-04-12 16:14:36,1089793.0,KRW,KR,36.82167,128.63083,64.223.79.18,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.2; Trident/3.0)
f2588ad2-a76d-44fd-a7a6-8498af6b9aa7,1c262158-d0f0-4228-80f1-b80dea58bf72,4227354636101552,06/33,2026-04-12 16:17:28,1187639.0,KRW,KR,36.82167,128.63083,184.146.61.158,"Mozilla/5.0 (Windows NT 5.01) AppleWebKit/534.2 (KHTML, like Gecko) Chrome/40.0.886.0 Safari/534.2"
50676c53-b45d-4a0a-809d-e5baa86570cd,b32a3f55-785f-4db4-9e9a-0283e7cbc877,4330313643889645,05/30,2026-04-12 16:22:25,578905.0,KRW,KR,37.65639,126.835,76.121.245.251,Opera/9.40.(Windows 98; Win 9x 4.90; ve-ZA) Presto/2.9.183 Version/12.00
422857e9-bef5-46a3-984c-15e6e6aa6b8c,6c2fbeb7-8af9-40c6-a61f-0a638a419106,4221859463704746,07/29,2026-04-12 16:27:05,931726.0,KRW,KR,37.1759,128.9889,32.67.96.156,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_9_1 rv:2.0; br-FR) AppleWebKit/531.7.6 (KHTML, like Gecko) Version/5.1 Safari/531.7.6"
d4bfffeb-b7a5-453e-acce-007c9e24ccb2,e16f12d0-17a3-41f2-bcff-1367b56740d1,4404493363665879,06/27,2026-04-12 16:27:22,1534.52,USD,OM,13.163045,128.599554,74.146.107.144,"Mozilla/5.0 (Windows; U; Windows NT 5.1) AppleWebKit/535.15.5 (KHTML, like Gecko) Version/5.0 Safari/535.15.5"
88b5bf18-fe10-4b2a-8922-97a18cf69379,1b5e5330-a284-4163-bf5a-477065b97f64,4371998443841406,10/33,2026-04-12 16:43:16,1315628.0,KRW,KR,37.65639,126.835,214.254.95.42,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_12_1) AppleWebKit/532.0 (KHTML, like Gecko) Chrome/24.0.821.0 Safari/532.0"
